antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,cosine,all_confidence,max_confidence,chi_square_score
"frozenset({'Prefix_Suffix_Has_PrefixSuffix', 'URL_of_Anchor_greater_than_%67_Anchor'})",frozenset({'Result_Phishing'}),0.2952510176390773,0.4430574400723654,0.2936227951153324,0.994485294117647,2.244596759181418,1.0,0.1628096350614019,100.99225086687603,0.7867846472457082,0.6602929210740438,0.9900982501982438,0.8286023857276679,0.8118280448085448,0.6627194773376888,0.994485294117647,5707.19420726182
frozenset({'URL_of_Anchor_greater_than_%67_Anchor'}),frozenset({'Result_Phishing'}),0.2968792401628222,0.4430574400723654,0.2936227951153324,0.9890310786106032,2.2322863564802407,1.0,0.1620882389581633,50.77459671340246,0.7851123598845521,0.657884069720308,0.9803051119116808,0.8258752779741461,0.8095987645047079,0.6627194773376888,0.9890310786106032,5638.733420372811
"frozenset({'Prefix_Suffix_Has_PrefixSuffix', 'URL_of_Anchor_greater_than_%67_Anchor', 'SFH_Empty_or_Blank'})",frozenset({'Result_Phishing'}),0.2502939846223428,0.4430574400723654,0.2486657620985979,0.99349475966751,2.242361079649718,1.0,0.1377711500063107,85.61444796220992,0.7390116676334393,0.5591944670463791,0.9883197284593672,0.7773721246275483,0.74672513468567,0.5612494895875867,0.99349475966751,4531.724143941057
"frozenset({'URL_of_Anchor_greater_than_%67_Anchor', 'SFH_Empty_or_Blank'})",frozenset({'Result_Phishing'}),0.2515603799185889,0.4430574400723654,0.2486657620985979,0.9884933477166488,2.2310726743584217,1.0,0.1372100641482362,48.40178934871084,0.7372473238999689,0.557606490872211,0.979339606790247,0.7748714186521177,0.7448431961605704,0.5612494895875867,0.9884933477166488,4479.826858936122
"frozenset({'Prefix_Suffix_Has_PrefixSuffix', 'URL_of_Anchor_greater_than_%67_Anchor', 'Google_Index_Indexed by Google'})",frozenset({'Result_Phishing'}),0.2465852555404794,0.4430574400723654,0.2449570330167345,0.9933969185619956,2.2421402479997674,1.0,0.1357056009373796,84.34585657570778,0.7353155398562053,0.5508543531326282,0.9881440530620208,0.7731378222863061,0.7410991989993164,0.5528787260106166,0.9933969185619956,4441.019001993519
"frozenset({'URL_of_Anchor_greater_than_%67_Anchor', 'Google_Index_Indexed by Google'})",frozenset({'Result_Phishing'}),0.2482134780642243,0.4430574400723654,0.2449570330167345,0.9868804664723032,2.227432330921052,1.0,0.134984204834141,42.45139956781748,0.7329907668060001,0.5488447507093637,0.9764436506173968,0.76987959624146,0.7386644806865766,0.5528787260106166,0.9868804664723032,4374.559376500651
"frozenset({'Prefix_Suffix_Has_PrefixSuffix', 'URL_of_Anchor_greater_than_%67_Anchor', 'Page_Rank_PageRank_Low'})",frozenset({'Result_Phishing'}),0.2409769335142469,0.4430574400723654,0.239348710990502,0.9932432432432432,2.2417933960910683,1.0,0.1325820877111911,82.4274988692894,0.7297914756416213,0.5382424735557363,0.9878681263690196,0.7667318707028792,0.7325096311048866,0.5402204981625153,0.9932432432432432,4305.539372879991
"frozenset({'URL_of_Anchor_greater_than_%67_Anchor', 'Page_Rank_PageRank_Low'})",frozenset({'Result_Phishing'}),0.2423337856173677,0.4430574400723654,0.239348710990502,0.9876819708846584,2.2292413613985094,1.0,0.1319809242918256,45.213609637761685,0.727783408810834,0.5366051510849725,0.9778827656537112,0.7639512345235868,0.730456053666095,0.5402204981625153,0.9876819708846584,4250.291814261849
"frozenset({'Prefix_Suffix_Has_PrefixSuffix', 'URL_of_Anchor_greater_than_%67_Anchor', 'Statistical_report_Dont Belong to Top Phishing IPs/Domains'})",frozenset({'Result_Phishing'}),0.2349163274536408,0.4430574400723654,0.2336499321573948,0.9946091644204852,2.244876339866979,1.0,0.1295685054845831,103.31284486657653,0.7248111343728711,0.5258550488599348,0.9903206614696222,0.7609836348848036,0.7242342193735811,0.5273581053491221,0.9946091644204852,4184.707123394145
"frozenset({'URL_of_Anchor_greater_than_%67_Anchor', 'Statistical_report_Dont Belong to Top Phishing IPs/Domains'})",frozenset({'Result_Phishing'}),0.236454093170511,0.4430574400723654,0.2336499321573948,0.98814078041316,2.230276914550323,1.0,0.1288871869426356,46.96283392422047,0.7224518913661051,0.524041387705417,0.9787065660983404,0.757749442881141,0.7218753699752382,0.5273581053491221,0.98814078041316,4122.169127637372
