FULL DATASET MINING RESULTS (30 Features)
Execution Time: 890.3070 seconds
Total Rules Found: 374859
Phishing Specific Rules: 954
--------------------------------------------------
                                                                                                                                                    antecedents        consequents  antecedent support  consequent support   support  confidence      lift  representativity  leverage  conviction  zhangs_metric   jaccard  certainty  kulczynski    cosine  all_confidence  max_confidence  chi_square_score
134328                                                          (URL_of_Anchor_greater_than_%67_Anchor, SSLfinal_State_No_HTTPS, Redirect_Redirect_between_2-4)  (Result_Phishing)            0.160289            0.443057  0.160289    1.000000  2.257044               1.0  0.089272         inf       0.663255  0.361780   1.000000    0.680890  0.601482        0.361780        1.000000       2652.677699
135097                               (URL_of_Anchor_greater_than_%67_Anchor, Prefix_Suffix_Has_PrefixSuffix, Links_pointing_to_page_have 1 or 2 links pointing)  (Result_Phishing)            0.171597            0.443057  0.171597    1.000000  2.257044               1.0  0.095569         inf       0.672308  0.387301   1.000000    0.693650  0.622335        0.387301        1.000000       2878.563478
135106                                           (URL_of_Anchor_greater_than_%67_Anchor, Links_pointing_to_page_have 1 or 2 links pointing, RightClick_Enabled)  (Result_Phishing)            0.163998            0.443057  0.163998    1.000000  2.257044               1.0  0.091338         inf       0.666198  0.370151   1.000000    0.685076  0.608400        0.370151        1.000000       2726.094830
134346                                                                       (Iframe_No_IFrame, URL_of_Anchor_greater_than_%67_Anchor, SSLfinal_State_No_HTTPS)  (Result_Phishing)            0.160289            0.443057  0.160289    1.000000  2.257044               1.0  0.089272         inf       0.663255  0.361780   1.000000    0.680890  0.601482        0.361780        1.000000       2652.677699
134362                                                                     (SFH_Empty_or_Blank, URL_of_Anchor_greater_than_%67_Anchor, SSLfinal_State_No_HTTPS)  (Result_Phishing)            0.156038            0.443057  0.156038    1.000000  2.257044               1.0  0.086904         inf       0.659914  0.352185   1.000000    0.676092  0.593451        0.352185        1.000000       2569.310401
134255                                                                                         (URL_of_Anchor_greater_than_%67_Anchor, SSLfinal_State_No_HTTPS)  (Result_Phishing)            0.185346            0.443057  0.185346    1.000000  2.257044               1.0  0.103227         inf       0.683655  0.418334   1.000000    0.709167  0.646787        0.418334        1.000000       3161.688904
134437                                                   (HTTPS_token_No_HTTPS_Token_In_Domain, URL_of_Anchor_greater_than_%67_Anchor, SSLfinal_State_No_HTTPS)  (Result_Phishing)            0.154500            0.443057  0.154500    1.000000  2.257044               1.0  0.086048         inf       0.658714  0.348714   1.000000    0.674357  0.590520        0.348714        1.000000       2539.362740
134413                                     (double_slash_redirecting_last_position_less_than_7, SSLfinal_State_No_HTTPS, URL_of_Anchor_greater_than_%67_Anchor)  (Result_Phishing)            0.159385            0.443057  0.159385    1.000000  2.257044               1.0  0.088768         inf       0.662542  0.359739   1.000000    0.679869  0.599782        0.359739        1.000000       2634.869354
134480                                                                    (URL_of_Anchor_greater_than_%67_Anchor, SSLfinal_State_No_HTTPS, URL_Length_long_URL)  (Result_Phishing)            0.151515            0.443057  0.151515    1.000000  2.257044               1.0  0.084385         inf       0.656397  0.341976   1.000000    0.670988  0.584787        0.341976        1.000000       2481.538927
134459                                                           (URL_of_Anchor_greater_than_%67_Anchor, SSLfinal_State_No_HTTPS, Abnormal_URL_hostname_in_URL)  (Result_Phishing)            0.154591            0.443057  0.154591    1.000000  2.257044               1.0  0.086098         inf       0.658785  0.348918   1.000000    0.674459  0.590693        0.348918        1.000000       2541.121351
134402                                                                     (port_Port_Standard, SSLfinal_State_No_HTTPS, URL_of_Anchor_greater_than_%67_Anchor)  (Result_Phishing)            0.150068            0.443057  0.150068    1.000000  2.257044               1.0  0.083579         inf       0.655279  0.338710   1.000000    0.669355  0.581988        0.338710        1.000000       2453.649345
134375                                                         (URL_of_Anchor_greater_than_%67_Anchor, SSLfinal_State_No_HTTPS, Google_Index_Indexed by Google)  (Result_Phishing)            0.153686            0.443057  0.153686    1.000000  2.257044               1.0  0.085594         inf       0.658080  0.346876   1.000000    0.673438  0.588962        0.346876        1.000000       2523.552156
134386                                     (URL_of_Anchor_greater_than_%67_Anchor, on_mouseover_onMouseOver_doesnt_Changes_Status_Bar, SSLfinal_State_No_HTTPS)  (Result_Phishing)            0.152601            0.443057  0.152601    1.000000  2.257044               1.0  0.084990         inf       0.657237  0.344426   1.000000    0.672213  0.586878        0.344426        1.000000       2502.518633
134285                                                         (URL_of_Anchor_greater_than_%67_Anchor, Prefix_Suffix_Has_PrefixSuffix, SSLfinal_State_No_HTTPS)  (Result_Phishing)            0.185346            0.443057  0.185346    1.000000  2.257044               1.0  0.103227         inf       0.683655  0.418334   1.000000    0.709167  0.646787        0.418334        1.000000       3161.688904
134301                                                                     (URL_of_Anchor_greater_than_%67_Anchor, SSLfinal_State_No_HTTPS, RightClick_Enabled)  (Result_Phishing)            0.172773            0.443057  0.172773    1.000000  2.257044               1.0  0.096224         inf       0.673264  0.389955   1.000000    0.694978  0.624464        0.389955        1.000000       2902.410101
134312                                                       (Shortining_Service_No_Shortining, URL_of_Anchor_greater_than_%67_Anchor, SSLfinal_State_No_HTTPS)  (Result_Phishing)            0.160561            0.443057  0.160561    1.000000  2.257044               1.0  0.089423         inf       0.663470  0.362393   1.000000    0.681196  0.601991        0.362393        1.000000       2658.027687
135174                                 (URL_of_Anchor_greater_than_%67_Anchor, Links_pointing_to_page_have 1 or 2 links pointing, Abnormal_URL_hostname_in_URL)  (Result_Phishing)            0.156309            0.443057  0.156309    1.000000  2.257044               1.0  0.087055         inf       0.660127  0.352797   1.000000    0.676399  0.593967        0.352797        1.000000       2574.606614
135117           (double_slash_redirecting_last_position_less_than_7, Links_pointing_to_page_have 1 or 2 links pointing, URL_of_Anchor_greater_than_%67_Anchor)  (Result_Phishing)            0.157757            0.443057  0.157757    1.000000  2.257044               1.0  0.087861         inf       0.661261  0.356064   1.000000    0.678032  0.596711        0.356064        1.000000       2602.910727
135435                                                           (Request_URL_ReqURL_HighExtContent, URL_of_Anchor_greater_than_%67_Anchor, RightClick_Enabled)  (Result_Phishing)            0.156400            0.443057  0.156400    1.000000  2.257044               1.0  0.087106         inf       0.660197  0.353001   1.000000    0.676501  0.594139        0.353001        1.000000       2576.372776
135082                                                               (URL_of_Anchor_greater_than_%67_Anchor, Links_pointing_to_page_have 1 or 2 links pointing)  (Result_Phishing)            0.171597            0.443057  0.171597    1.000000  2.257044               1.0  0.095569         inf       0.672308  0.387301   1.000000    0.693650  0.622335        0.387301        1.000000       2878.563478
135132                                (URL_of_Anchor_greater_than_%67_Anchor, Links_pointing_to_page_have 1 or 2 links pointing, Redirect_Redirect_between_2-4)  (Result_Phishing)            0.157033            0.443057  0.157033    1.000000  2.257044               1.0  0.087458         inf       0.660693  0.354430   1.000000    0.677215  0.595341        0.354430        1.000000       2588.746522
135139                                             (Iframe_No_IFrame, URL_of_Anchor_greater_than_%67_Anchor, Links_pointing_to_page_have 1 or 2 links pointing)  (Result_Phishing)            0.155948            0.443057  0.155948    1.000000  2.257044               1.0  0.086854         inf       0.659844  0.351980   1.000000    0.675990  0.593279        0.351980        1.000000       2567.545753
135152                         (HTTPS_token_No_HTTPS_Token_In_Domain, URL_of_Anchor_greater_than_%67_Anchor, Links_pointing_to_page_have 1 or 2 links pointing)  (Result_Phishing)            0.152962            0.443057  0.152962    1.000000  2.257044               1.0  0.085191         inf       0.657518  0.345243   1.000000    0.672621  0.587574        0.345243        1.000000       2509.523817
