antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,cosine,all_confidence,max_confidence,chi_square_score
"frozenset({'SSLfinal_State_No_HTTPS', 'URL_of_Anchor_greater_than_%67_Anchor'})",frozenset({'Result_Phishing'}),0.1853459972862958,0.44305744007236547,0.1853459972862958,1.0,2.2570436913025724,1.0,0.10322707420096999,inf,0.6836553408838553,0.4183340138832176,1.0,0.7091670069416088,0.6467874564980506,0.4183340138832176,1.0,3161.688904354908
"frozenset({'Request_URL_ReqURL_HighExtContent', 'URL_of_Anchor_greater_than_%67_Anchor'})",frozenset({'Result_Phishing'}),0.1655359565807327,0.44305744007236547,0.1655359565807327,1.0,2.2570436913025724,1.0,0.09219401941814302,inf,0.6674254742547425,0.37362188648427924,1.0,0.6868109432421396,0.6112461750262976,0.37362188648427924,1.0,2756.7274719470747
"frozenset({'SSLfinal_State_No_HTTPS', 'Prefix_Suffix_Has_PrefixSuffix', 'URL_of_Anchor_greater_than_%67_Anchor'})",frozenset({'Result_Phishing'}),0.1853459972862958,0.44305744007236547,0.1853459972862958,1.0,2.2570436913025724,1.0,0.10322707420096999,inf,0.6836553408838553,0.4183340138832176,1.0,0.7091670069416088,0.6467874564980506,0.4183340138832176,1.0,3161.688904354908
"frozenset({'SSLfinal_State_No_HTTPS', 'Google_Index_Indexed by Google', 'URL_of_Anchor_greater_than_%67_Anchor'})",frozenset({'Result_Phishing'}),0.15368611488014472,0.44305744007236547,0.15368611488014472,1.0,2.2570436913025724,1.0,0.08559433824668032,inf,0.6580803762291577,0.34687627603103305,1.0,0.6734381380155166,0.5889620327585073,0.34687627603103305,1.0,2523.5521557878924
"frozenset({'SSLfinal_State_No_HTTPS', 'SFH_Empty_or_Blank', 'URL_of_Anchor_greater_than_%67_Anchor'})",frozenset({'Result_Phishing'}),0.1560379918588874,0.44305744007236547,0.1560379918588874,1.0,2.2570436913025724,1.0,0.08690419863185614,inf,0.659914255091104,0.3521845651286239,1.0,0.676092282564312,0.5934514008144424,0.35218456512862395,1.0,2569.3104006198146
"frozenset({'Prefix_Suffix_Has_PrefixSuffix', 'Request_URL_ReqURL_HighExtContent', 'URL_of_Anchor_greater_than_%67_Anchor'})",frozenset({'Result_Phishing'}),0.1655359565807327,0.44305744007236547,0.1655359565807327,1.0,2.2570436913025724,1.0,0.09219401941814302,inf,0.6674254742547425,0.37362188648427924,1.0,0.6868109432421396,0.6112461750262976,0.37362188648427924,1.0,2756.7274719470747
"frozenset({'SSLfinal_State_No_HTTPS', 'Prefix_Suffix_Has_PrefixSuffix', 'URL_of_Anchor_greater_than_%67_Anchor', 'SFH_Empty_or_Blank'})",frozenset({'Result_Phishing'}),0.1560379918588874,0.44305744007236547,0.1560379918588874,1.0,2.2570436913025724,1.0,0.08690419863185614,inf,0.659914255091104,0.3521845651286239,1.0,0.676092282564312,0.5934514008144424,0.35218456512862395,1.0,2569.3104006198146
"frozenset({'SSLfinal_State_No_HTTPS', 'Prefix_Suffix_Has_PrefixSuffix', 'Google_Index_Indexed by Google', 'URL_of_Anchor_greater_than_%67_Anchor'})",frozenset({'Result_Phishing'}),0.15368611488014472,0.44305744007236547,0.15368611488014472,1.0,2.2570436913025724,1.0,0.08559433824668032,inf,0.6580803762291577,0.34687627603103305,1.0,0.6734381380155166,0.5889620327585073,0.34687627603103305,1.0,2523.5521557878924
"frozenset({'Prefix_Suffix_Has_PrefixSuffix', 'age_of_domain_Domain_Age_Less_6Month', 'URL_of_Anchor_greater_than_%67_Anchor'})",frozenset({'Result_Phishing'}),0.15341474445952058,0.44305744007236547,0.152962460425147,0.9970518867924528,2.250389670986232,1.0,0.08499091647555569,188.91491632745323,0.656321983684009,0.34489088313277577,0.9947066117411996,0.671147421550575,0.5867070316515655,0.3452429563086974,0.9970518867924528,2491.698720880824
"frozenset({'age_of_domain_Domain_Age_Less_6Month', 'URL_of_Anchor_greater_than_%67_Anchor'})",frozenset({'Result_Phishing'}),0.15359565807327002,0.44305744007236547,0.152962460425147,0.9958775029446407,2.24773903533136,1.0,0.08491076135297362,135.09835239387382,0.6558431573600615,0.34475025484199795,0.9925979852286834,0.6705602296266691,0.5863614015587412,0.3452429563086974,0.9958775029446407,2484.6027087231946
"frozenset({'Prefix_Suffix_Has_PrefixSuffix', 'URL_of_Anchor_greater_than_%67_Anchor', 'Statistical_report_Dont Belong to Top Phishing IPs/Domains'})",frozenset({'Result_Phishing'}),0.23491632745364088,0.44305744007236547,0.23364993215739485,0.9946091644204852,2.244876339866979,1.0,0.12956850548458315,103.31284486657653,0.7248111343728711,0.5258550488599348,0.9903206614696222,0.7609836348848036,0.7242342193735811,0.5273581053491221,0.9946091644204852,4184.707123394145
