antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,cosine,all_confidence,max_confidence,chi_square_score
"frozenset({'Prefix_Suffix_Has_PrefixSuffix', 'URL_of_Anchor_greater_than_%67_Anchor'})",frozenset({'Result_Phishing'}),0.2952510176390773,0.4430574400723654,0.2936227951153324,0.994485294117647,2.244596759181418,1.0,0.1628096350614019,100.99225086687603,0.7867846472457082,0.6602929210740438,0.9900982501982438,0.8286023857276679,0.8118280448085448,0.6627194773376888,0.994485294117647,5707.19420726182
frozenset({'URL_of_Anchor_greater_than_%67_Anchor'}),frozenset({'Result_Phishing'}),0.2968792401628222,0.4430574400723654,0.2936227951153324,0.9890310786106032,2.2322863564802407,1.0,0.1620882389581633,50.77459671340246,0.7851123598845521,0.657884069720308,0.9803051119116808,0.8258752779741461,0.8095987645047079,0.6627194773376888,0.9890310786106032,5638.733420372811
"frozenset({'Prefix_Suffix_Has_PrefixSuffix', 'URL_of_Anchor_greater_than_%67_Anchor', 'RightClick_Enabled'})",frozenset({'Result_Phishing'}),0.2782451379466304,0.4430574400723654,0.2766169154228856,0.994148244473342,2.243836023408084,1.0,0.1533383368916692,95.1752952409676,0.768037271808412,0.6220504475183076,0.9894930717318168,0.8092423541680716,0.7878343731457126,0.6243364638628012,0.994148244473342,5245.326192089459
"frozenset({'RightClick_Enabled', 'URL_of_Anchor_greater_than_%67_Anchor'})",frozenset({'Result_Phishing'}),0.2798733604703754,0.4430574400723654,0.2766169154228856,0.9883645765998706,2.230782032321676,1.0,0.1526169407884307,47.86611890044697,0.7661523406002562,0.6197811106607215,0.9791083960226684,0.8063505202313359,0.7855393336820364,0.6243364638628012,0.9883645765998706,5177.538707591759
"frozenset({'Prefix_Suffix_Has_PrefixSuffix', 'Iframe_No_IFrame', 'URL_of_Anchor_greater_than_%67_Anchor'})",frozenset({'Result_Phishing'}),0.2613297150610583,0.4430574400723654,0.2604251469923112,0.9965385946694358,2.2492311482381813,1.0,0.1446410724225179,160.9007055630959,0.7518965403276251,0.5865933170334149,0.9937849868557111,0.7921647648724884,0.7653472103559359,0.587790935075541,0.9965385946694358,4855.479768064278
"frozenset({'Iframe_No_IFrame', 'URL_of_Anchor_greater_than_%67_Anchor'})",frozenset({'Result_Phishing'}),0.2629579375848032,0.4430574400723654,0.2604251469923112,0.9903680770553837,2.2353040203853136,1.0,0.1439196763192793,57.82257220391608,0.7497992164068585,0.5844498578968738,0.9827057157458612,0.7890795060654623,0.7629740349981442,0.587790935075541,0.9903680770553837,4787.955386174759
"frozenset({'RightClick_Enabled', 'Iframe_No_IFrame', 'URL_of_Anchor_greater_than_%67_Anchor'})",frozenset({'Result_Phishing'}),0.2625961103573044,0.4430574400723654,0.2600633197648123,0.9903548053737512,2.235274065620012,1.0,0.1437181593369446,57.74300898106814,0.7494231770277765,0.5836378400324805,0.9826818862119244,0.7886645402940622,0.7624387149727703,0.5869742752143732,0.9903548053737512,4778.789335489943
"frozenset({'Prefix_Suffix_Has_PrefixSuffix', 'URL_of_Anchor_greater_than_%67_Anchor', 'Redirect_Redirect_between_2-4'})",frozenset({'Result_Phishing'}),0.2585255540479421,0.4430574400723654,0.2568973315241972,0.9937018894331702,2.242828580580583,1.0,0.142355661354426,88.43010201517835,0.747341263636473,0.5777054515866558,0.9886916335364132,0.7867651954311625,0.759063025984901,0.5798285014291548,0.9937018894331702,4736.288265253079
"frozenset({'URL_of_Anchor_greater_than_%67_Anchor', 'Redirect_Redirect_between_2-4'})",frozenset({'Result_Phishing'}),0.260153776571687,0.4430574400723654,0.2568973315241972,0.9874826147426982,2.2287914058759752,1.0,0.1416342652511874,44.493522287552025,0.745190448227942,0.5755978921767329,0.9775248182524814,0.7836555580859265,0.7566839265463501,0.5798285014291548,0.9874826147426982,4669.317201043728
"frozenset({'Prefix_Suffix_Has_PrefixSuffix', 'URL_of_Anchor_greater_than_%67_Anchor', 'Shortining_Service_No_Shortining'})",frozenset({'Result_Phishing'}),0.2542740841248304,0.4430574400723654,0.2526458616010855,0.9935965848452508,2.2425909035247544,1.0,0.1399878368119928,86.97586310869917,0.7430172176125488,0.5681448331977218,0.98850255732731,0.7819146664528418,0.7527159564136848,0.5702327480604328,0.9935965848452508,4630.070206641485
