RULES TARGETING PHISHING
                                                                                                                                                                                       antecedents        consequents  antecedent support  consequent support   support  confidence      lift  representativity  leverage  conviction  zhangs_metric   jaccard  certainty  kulczynski    cosine  all_confidence  max_confidence  chi_square_score
634                                                                                                                               (URL_of_Anchor_greater_than_%67_Anchor, SSLfinal_State_No_HTTPS)  (Result_Phishing)            0.185346            0.443057  0.185346    1.000000  2.257044               1.0  0.103227         inf       0.683655  0.418334   1.000000    0.709167  0.646787        0.418334        1.000000       3161.688904
674                                                                                                                     (Request_URL_ReqURL_HighExtContent, URL_of_Anchor_greater_than_%67_Anchor)  (Result_Phishing)            0.165536            0.443057  0.165536    1.000000  2.257044               1.0  0.092194         inf       0.667425  0.373622   1.000000    0.686811  0.611246        0.373622        1.000000       2756.727472
4668                                                                                              (URL_of_Anchor_greater_than_%67_Anchor, Prefix_Suffix_Has_PrefixSuffix, SSLfinal_State_No_HTTPS)  (Result_Phishing)            0.185346            0.443057  0.185346    1.000000  2.257044               1.0  0.103227         inf       0.683655  0.418334   1.000000    0.709167  0.646787        0.418334        1.000000       3161.688904
4685                                                                                              (URL_of_Anchor_greater_than_%67_Anchor, SSLfinal_State_No_HTTPS, Google_Index_Indexed by Google)  (Result_Phishing)            0.153686            0.443057  0.153686    1.000000  2.257044               1.0  0.085594         inf       0.658080  0.346876   1.000000    0.673438  0.588962        0.346876        1.000000       2523.552156
4678                                                                                                          (SFH_Empty_or_Blank, URL_of_Anchor_greater_than_%67_Anchor, SSLfinal_State_No_HTTPS)  (Result_Phishing)            0.156038            0.443057  0.156038    1.000000  2.257044               1.0  0.086904         inf       0.659914  0.352185   1.000000    0.676092  0.593451        0.352185        1.000000       2569.310401
4810                                                                                    (Request_URL_ReqURL_HighExtContent, Prefix_Suffix_Has_PrefixSuffix, URL_of_Anchor_greater_than_%67_Anchor)  (Result_Phishing)            0.165536            0.443057  0.165536    1.000000  2.257044               1.0  0.092194         inf       0.667425  0.373622   1.000000    0.686811  0.611246        0.373622        1.000000       2756.727472
16189                                                                         (SFH_Empty_or_Blank, URL_of_Anchor_greater_than_%67_Anchor, Prefix_Suffix_Has_PrefixSuffix, SSLfinal_State_No_HTTPS)  (Result_Phishing)            0.156038            0.443057  0.156038    1.000000  2.257044               1.0  0.086904         inf       0.659914  0.352185   1.000000    0.676092  0.593451        0.352185        1.000000       2569.310401
16202                                                             (URL_of_Anchor_greater_than_%67_Anchor, Prefix_Suffix_Has_PrefixSuffix, SSLfinal_State_No_HTTPS, Google_Index_Indexed by Google)  (Result_Phishing)            0.153686            0.443057  0.153686    1.000000  2.257044               1.0  0.085594         inf       0.658080  0.346876   1.000000    0.673438  0.588962        0.346876        1.000000       2523.552156
4838                                                                                 (age_of_domain_Domain_Age_Less_6Month, URL_of_Anchor_greater_than_%67_Anchor, Prefix_Suffix_Has_PrefixSuffix)  (Result_Phishing)            0.153415            0.443057  0.152962    0.997052  2.250390               1.0  0.084991  188.914916       0.656322  0.344891   0.994707    0.671147  0.586707        0.345243        0.997052       2491.698721
685                                                                                                                  (age_of_domain_Domain_Age_Less_6Month, URL_of_Anchor_greater_than_%67_Anchor)  (Result_Phishing)            0.153596            0.443057  0.152962    0.995878  2.247739               1.0  0.084911  135.098352       0.655843  0.344750   0.992598    0.670560  0.586361        0.345243        0.995878       2484.602709
4857                                                           (Statistical_report_Dont Belong to Top Phishing IPs/Domains, URL_of_Anchor_greater_than_%67_Anchor, Prefix_Suffix_Has_PrefixSuffix)  (Result_Phishing)            0.234916            0.443057  0.233650    0.994609  2.244876               1.0  0.129569  103.312845       0.724811  0.525855   0.990321    0.760984  0.724234        0.527358        0.994609       4184.707123
668                                                                                                                        (URL_of_Anchor_greater_than_%67_Anchor, Prefix_Suffix_Has_PrefixSuffix)  (Result_Phishing)            0.295251            0.443057  0.293623    0.994485  2.244597               1.0  0.162810  100.992251       0.786785  0.660293   0.990098    0.828602  0.811828        0.662719        0.994485       5707.194207
16394                                      (Statistical_report_Dont Belong to Top Phishing IPs/Domains, SFH_Empty_or_Blank, URL_of_Anchor_greater_than_%67_Anchor, Prefix_Suffix_Has_PrefixSuffix)  (Result_Phishing)            0.198824            0.443057  0.197558    0.993631  2.242668               1.0  0.109467   87.439982       0.691611  0.444625   0.988564    0.719763  0.665625        0.445896        0.993631       3370.228751
16441                          (Statistical_report_Dont Belong to Top Phishing IPs/Domains, URL_of_Anchor_greater_than_%67_Anchor, Prefix_Suffix_Has_PrefixSuffix, Google_Index_Indexed by Google)  (Result_Phishing)            0.196653            0.443057  0.195387    0.993560  2.242509               1.0  0.108258   86.485223       0.689703  0.439739   0.988437    0.717278  0.661934        0.440996        0.993560       3323.571819
4820                                                                                                   (SFH_Empty_or_Blank, URL_of_Anchor_greater_than_%67_Anchor, Prefix_Suffix_Has_PrefixSuffix)  (Result_Phishing)            0.250294            0.443057  0.248666    0.993495  2.242361               1.0  0.137771   85.614448       0.739012  0.559194   0.988320    0.777372  0.746725        0.561249        0.993495       4531.724144
4829                                                                                       (URL_of_Anchor_greater_than_%67_Anchor, Prefix_Suffix_Has_PrefixSuffix, Google_Index_Indexed by Google)  (Result_Phishing)            0.246585            0.443057  0.244957    0.993397  2.242140               1.0  0.135706   84.345857       0.735316  0.550854   0.988144    0.773138  0.741099        0.552879        0.993397       4441.019002
16484                                  (Statistical_report_Dont Belong to Top Phishing IPs/Domains, URL_of_Anchor_greater_than_%67_Anchor, Prefix_Suffix_Has_PrefixSuffix, Page_Rank_PageRank_Low)  (Result_Phishing)            0.190592            0.443057  0.189326    0.993355  2.242047               1.0  0.104883   83.819855       0.684425  0.426099   0.988070    0.710336  0.651520        0.427317        0.993355       3194.646441
4843                                                                                               (Page_Rank_PageRank_Low, URL_of_Anchor_greater_than_%67_Anchor, Prefix_Suffix_Has_PrefixSuffix)  (Result_Phishing)            0.240977            0.443057  0.239349    0.993243  2.241793               1.0  0.132582   82.427499       0.729791  0.538242   0.987868    0.766732  0.732510        0.540220        0.993243       4305.539373
4866                                                                                             (URL_of_Anchor_greater_than_%67_Anchor, Prefix_Suffix_Has_PrefixSuffix, DNSRecord_Has_DNS_Record)  (Result_Phishing)            0.182180            0.443057  0.180914    0.993049  2.241354               1.0  0.100197   80.120165       0.677216  0.407166   0.987519    0.700689  0.636782        0.408330        0.993049       3018.858901
4852                                                                                              (having_IP_Address_no_IP, URL_of_Anchor_greater_than_%67_Anchor, Prefix_Suffix_Has_PrefixSuffix)  (Result_Phishing)            0.170782            0.443057  0.169516    0.992585  2.240307               1.0  0.093850   75.107682       0.667657  0.381515   0.986686    0.687595  0.616253        0.382605        0.992585       2786.388178
30246      (Prefix_Suffix_Has_PrefixSuffix, Statistical_report_Dont Belong to Top Phishing IPs/Domains, SFH_Empty_or_Blank, URL_of_Anchor_greater_than_%67_Anchor, Google_Index_Indexed by Google)  (Result_Phishing)            0.166350            0.443057  0.165084    0.992387  2.239861               1.0  0.091381   73.158383       0.664000  0.371539   0.986331    0.682494  0.608083        0.372601        0.992387       2697.700745
16360                                                                  (SFH_Empty_or_Blank, URL_of_Anchor_greater_than_%67_Anchor, Prefix_Suffix_Has_PrefixSuffix, Google_Index_Indexed by Google)  (Result_Phishing)            0.208412            0.443057  0.206784    0.992188  2.239411               1.0  0.114446   71.288648       0.699170  0.465012   0.985973    0.729454  0.680496        0.466721        0.992188       3556.833478
30275              (Prefix_Suffix_Has_PrefixSuffix, Statistical_report_Dont Belong to Top Phishing IPs/Domains, Page_Rank_PageRank_Low, SFH_Empty_or_Blank, URL_of_Anchor_greater_than_%67_Anchor)  (Result_Phishing)            0.161284            0.443057  0.160018    0.992148  2.239322               1.0  0.088560   70.930613       0.659862  0.360138   0.985902    0.676658  0.598608        0.361168        0.992148       2597.492389
16458                                                            (URL_of_Anchor_greater_than_%67_Anchor, Prefix_Suffix_Has_PrefixSuffix, DNSRecord_Has_DNS_Record, Google_Index_Indexed by Google)  (Result_Phishing)            0.159928            0.443057  0.158661    0.992081  2.239171               1.0  0.087804   70.333889       0.658760  0.357085   0.985782    0.675093  0.596045        0.358105        0.992081       2570.856244
16377                                                                          (Page_Rank_PageRank_Low, SFH_Empty_or_Blank, URL_of_Anchor_greater_than_%67_Anchor, Prefix_Suffix_Has_PrefixSuffix)  (Result_Phishing)            0.204071            0.443057  0.202442    0.992021  2.239035               1.0  0.112027   69.803468       0.695261  0.455248   0.985674    0.724471  0.673257        0.456921        0.992021       3461.637248
16411                                                                        (SFH_Empty_or_Blank, URL_of_Anchor_greater_than_%67_Anchor, Prefix_Suffix_Has_PrefixSuffix, DNSRecord_Has_DNS_Record)  (Result_Phishing)            0.158118            0.443057  0.156852    0.991991  2.238967               1.0  0.086797   69.538257       0.657296  0.353013   0.985619    0.673006  0.592610        0.354022        0.991991       2535.475063
30304  (Prefix_Suffix_Has_PrefixSuffix, Statistical_report_Dont Belong to Top Phishing IPs/Domains, Page_Rank_PageRank_Low, URL_of_Anchor_greater_than_%67_Anchor, Google_Index_Indexed by Google)  (Result_Phishing)            0.157485            0.443057  0.156219    0.991959  2.238894               1.0  0.086444   69.259785       0.656785  0.351588   0.985562    0.672276  0.591403        0.352593        0.991959       2523.127580
16424                                                              (Page_Rank_PageRank_Low, URL_of_Anchor_greater_than_%67_Anchor, Prefix_Suffix_Has_PrefixSuffix, Google_Index_Indexed by Google)  (Result_Phishing)            0.198643            0.443057  0.197015    0.991803  2.238543               1.0  0.109005   67.946992       0.690430  0.443043   0.985283    0.718237  0.664098        0.444671        0.991803       3344.093562
16471                                                                     (having_IP_Address_no_IP, URL_of_Anchor_greater_than_%67_Anchor, Prefix_Suffix_Has_PrefixSuffix, Page_Rank_PageRank_Low)  (Result_Phishing)            0.154229            0.443057  0.152962    0.991789  2.238511               1.0  0.084630   67.827647       0.654166  0.344259   0.985257    0.668516  0.585156        0.345243        0.991789       2459.918559
16501                                (Statistical_report_Dont Belong to Top Phishing IPs/Domains, URL_of_Anchor_greater_than_%67_Anchor, Prefix_Suffix_Has_PrefixSuffix, DNSRecord_Has_DNS_Record)  (Result_Phishing)            0.152601            0.443057  0.151334    0.991701  2.238313               1.0  0.083723   67.111578       0.652862  0.340594   0.985099    0.666635  0.582008        0.341568        0.991701       2428.496408
30217                                          (Prefix_Suffix_Has_PrefixSuffix, Page_Rank_PageRank_Low, SFH_Empty_or_Blank, URL_of_Anchor_greater_than_%67_Anchor, Google_Index_Indexed by Google)  (Result_Phishing)            0.167436            0.443057  0.165807    0.990276  2.235095               1.0  0.091624   57.272260       0.663722  0.372864   0.982540    0.682255  0.608765        0.374234        0.990276       2697.981710
4815                                                                         (Domain_registeration_length_Domain_ShortTerm, URL_of_Anchor_greater_than_%67_Anchor, Prefix_Suffix_Has_PrefixSuffix)  (Result_Phishing)            0.162913            0.443057  0.161284    0.990006  2.234486               1.0  0.089105   55.725197       0.659991  0.362693   0.982055    0.677016  0.600323        0.364026        0.990006       2608.343470
25                                                                                                                                                         (URL_of_Anchor_greater_than_%67_Anchor)  (Result_Phishing)            0.296879            0.443057  0.293623    0.989031  2.232286               1.0  0.162088   50.774597       0.785112  0.657884   0.980305    0.825875  0.809599        0.662719        0.989031       5638.733420
677                                                                                                                                    (SFH_Empty_or_Blank, URL_of_Anchor_greater_than_%67_Anchor)  (Result_Phishing)            0.251560            0.443057  0.248666    0.988493  2.231073               1.0  0.137210   48.401789       0.737247  0.557606   0.979340    0.774871  0.744843        0.561249        0.988493       4479.826859
698                                                                                                                              (URL_of_Anchor_greater_than_%67_Anchor, DNSRecord_Has_DNS_Record)  (Result_Phishing)            0.183085            0.443057  0.180914    0.988142  2.230280               1.0  0.099797   46.968823       0.675255  0.406339   0.978709    0.698236  0.635207        0.408330        0.988142       2983.260643
693                                                                                            (Statistical_report_Dont Belong to Top Phishing IPs/Domains, URL_of_Anchor_greater_than_%67_Anchor)  (Result_Phishing)            0.236454            0.443057  0.233650    0.988141  2.230277               1.0  0.128887   46.962834       0.722452  0.524041   0.978707    0.757749  0.721875        0.527358        0.988141       4122.169128
691                                                                                                                               (having_IP_Address_no_IP, URL_of_Anchor_greater_than_%67_Anchor)  (Result_Phishing)            0.171597            0.443057  0.169516    0.987876  2.229678               1.0  0.093489   45.935654       0.665744  0.380817   0.978230    0.685240  0.614790        0.382605        0.987876       2754.597422
4891                                                                       (Statistical_report_Dont Belong to Top Phishing IPs/Domains, SFH_Empty_or_Blank, URL_of_Anchor_greater_than_%67_Anchor)  (Result_Phishing)            0.200000            0.443057  0.197558    0.987788  2.229481               1.0  0.108946   45.607407       0.689332  0.443452   0.978074    0.716842  0.663665        0.445896        0.987788       3323.474288
687                                                                                                                                (Page_Rank_PageRank_Low, URL_of_Anchor_greater_than_%67_Anchor)  (Result_Phishing)            0.242334            0.443057  0.239349    0.987682  2.229241               1.0  0.131981   45.213610       0.727783  0.536605   0.977883    0.763951  0.730456        0.540220        0.987682       4250.291814
4900                                                                                                         (SFH_Empty_or_Blank, URL_of_Anchor_greater_than_%67_Anchor, DNSRecord_Has_DNS_Record)  (Result_Phishing)            0.158842            0.443057  0.156852    0.987472  2.228766               1.0  0.086476   44.454143       0.655431  0.352439   0.977505    0.670747  0.591259        0.354022        0.987472       2507.467293
4883                                                                                                           (Page_Rank_PageRank_Low, SFH_Empty_or_Blank, URL_of_Anchor_greater_than_%67_Anchor)  (Result_Phishing)            0.205066            0.443057  0.202442    0.987208  2.228171               1.0  0.111587   43.537544       0.693392  0.454232   0.977031    0.722064  0.671622        0.456921        0.987208       3422.059538
4928                                                                                                      (having_IP_Address_no_IP, URL_of_Anchor_greater_than_%67_Anchor, Page_Rank_PageRank_Low)  (Result_Phishing)            0.154953            0.443057  0.152962    0.987157  2.228057               1.0  0.084310   43.365573       0.652245  0.343699   0.976940    0.666200  0.583789        0.345243        0.987157       2431.994622
682                                                                                                                        (URL_of_Anchor_greater_than_%67_Anchor, Google_Index_Indexed by Google)  (Result_Phishing)            0.248213            0.443057  0.244957    0.986880  2.227432               1.0  0.134984   42.451400       0.732991  0.548845   0.976444    0.769880  0.738664        0.552879        0.986880       4374.559377
4934                                                                   (Statistical_report_Dont Belong to Top Phishing IPs/Domains, URL_of_Anchor_greater_than_%67_Anchor, Page_Rank_PageRank_Low)  (Result_Phishing)            0.191859            0.443057  0.189326    0.986799  2.227248               1.0  0.104322   42.188399       0.681831  0.424888   0.976297    0.707058  0.649366        0.427317        0.986799       3144.615658
16543                                              (Statistical_report_Dont Belong to Top Phishing IPs/Domains, SFH_Empty_or_Blank, URL_of_Anchor_greater_than_%67_Anchor, Page_Rank_PageRank_Low)  (Result_Phishing)            0.162189            0.443057  0.160018    0.986615  2.226832               1.0  0.088159   41.608250       0.657585  0.359407   0.975966    0.673891  0.596937        0.361168        0.986615       2562.443393
4923                                                                                             (URL_of_Anchor_greater_than_%67_Anchor, DNSRecord_Has_DNS_Record, Google_Index_Indexed by Google)  (Result_Phishing)            0.160832            0.443057  0.158661    0.986502  2.226577               1.0  0.087403   41.260161       0.656460  0.356359   0.975764    0.672304  0.594366        0.358105        0.986502       2535.843792
4876                                                                                                   (SFH_Empty_or_Blank, URL_of_Anchor_greater_than_%67_Anchor, Google_Index_Indexed by Google)  (Result_Phishing)            0.209679            0.443057  0.206784    0.986195  2.225885               1.0  0.113884   40.343527       0.696857  0.463692   0.975213    0.726458  0.678438        0.466721        0.986195       3506.380713
