antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,cosine,all_confidence,max_confidence,chi_square_score
"frozenset({'URL_of_Anchor_greater_than_%67_Anchor', 'Redirect_Redirect_between_2-4', 'SSLfinal_State_No_HTTPS'})",frozenset({'Result_Phishing'}),0.1602894617819991,0.44305744007236547,0.1602894617819991,1.0,2.2570436913025724,1.0,0.08927202317428931,inf,0.6632554131207583,0.3617803184973458,1.0,0.6808901592486729,0.6014817690481946,0.3617803184973458,1.0,2652.6776994721245
"frozenset({'Prefix_Suffix_Has_PrefixSuffix', 'URL_of_Anchor_greater_than_%67_Anchor', 'Links_pointing_to_page_have 1 or 2 links pointing'})",frozenset({'Result_Phishing'}),0.17159656264133877,0.44305744007236547,0.17159656264133877,1.0,2.2570436913025724,1.0,0.09556942887224991,inf,0.6723083642716751,0.3873009391588404,1.0,0.6936504695794201,0.622335069844887,0.38730093915884034,1.0,2878.5634784123035
"frozenset({'RightClick_Enabled', 'URL_of_Anchor_greater_than_%67_Anchor', 'Links_pointing_to_page_have 1 or 2 links pointing'})",frozenset({'Result_Phishing'}),0.1639981908638625,0.44305744007236547,0.1639981908638625,1.0,2.2570436913025724,1.0,0.09133757224322038,inf,0.6661977926855659,0.370151082074316,1.0,0.6850755410371581,0.6084004290550065,0.370151082074316,1.0,2726.094830400557
"frozenset({'Iframe_No_IFrame', 'SSLfinal_State_No_HTTPS', 'URL_of_Anchor_greater_than_%67_Anchor'})",frozenset({'Result_Phishing'}),0.1602894617819991,0.44305744007236547,0.1602894617819991,1.0,2.2570436913025724,1.0,0.08927202317428931,inf,0.6632554131207583,0.3617803184973458,1.0,0.6808901592486729,0.6014817690481946,0.3617803184973458,1.0,2652.6776994721245
"frozenset({'URL_of_Anchor_greater_than_%67_Anchor', 'SFH_Empty_or_Blank', 'SSLfinal_State_No_HTTPS'})",frozenset({'Result_Phishing'}),0.1560379918588874,0.44305744007236547,0.1560379918588874,1.0,2.2570436913025724,1.0,0.08690419863185614,inf,0.659914255091104,0.3521845651286239,1.0,0.676092282564312,0.5934514008144424,0.35218456512862395,1.0,2569.3104006198146
"frozenset({'URL_of_Anchor_greater_than_%67_Anchor', 'SSLfinal_State_No_HTTPS'})",frozenset({'Result_Phishing'}),0.1853459972862958,0.44305744007236547,0.1853459972862958,1.0,2.2570436913025724,1.0,0.10322707420096999,inf,0.6836553408838553,0.4183340138832176,1.0,0.7091670069416088,0.6467874564980506,0.4183340138832176,1.0,3161.688904354908
"frozenset({'URL_of_Anchor_greater_than_%67_Anchor', 'HTTPS_token_No_HTTPS_Token_In_Domain', 'SSLfinal_State_No_HTTPS'})",frozenset({'Result_Phishing'}),0.1545002261420172,0.44305744007236547,0.1545002261420172,1.0,2.2570436913025724,1.0,0.0860477514569335,inf,0.6587140258906601,0.34871376071866067,1.0,0.6743568803593303,0.5905199071315552,0.34871376071866067,1.0,2539.3627400911164
"frozenset({'URL_of_Anchor_greater_than_%67_Anchor', 'SSLfinal_State_No_HTTPS', 'double_slash_redirecting_last_position_less_than_7'})",frozenset({'Result_Phishing'}),0.15938489371325193,0.44305744007236547,0.15938489371325193,1.0,2.2570436913025724,1.0,0.08876823071845247,inf,0.6625416980522973,0.3597386688444263,1.0,0.6798693344222131,0.5997821845006954,0.3597386688444263,1.0,2634.869353719056
"frozenset({'URL_of_Anchor_greater_than_%67_Anchor', 'URL_Length_long_URL', 'SSLfinal_State_No_HTTPS'})",frozenset({'Result_Phishing'}),0.15151515151515152,0.44305744007236547,0.15151515151515152,1.0,2.2570436913025724,1.0,0.0843852363526719,inf,0.6563965884861406,0.34197631686402613,1.0,0.6709881584320131,0.5847874116839608,0.34197631686402613,1.0,2481.538927221483
"frozenset({'URL_of_Anchor_greater_than_%67_Anchor', 'Abnormal_URL_hostname_in_URL', 'SSLfinal_State_No_HTTPS'})",frozenset({'Result_Phishing'}),0.15459068294889192,0.44305744007236547,0.15459068294889192,1.0,2.2570436913025724,1.0,0.08609813070251719,inf,0.6587845067408516,0.34891792568395263,1.0,0.6744589628419764,0.5906927506614184,0.34891792568395263,1.0,2541.1213513418106
"frozenset({'URL_of_Anchor_greater_than_%67_Anchor', 'port_Port_Standard', 'SSLfinal_State_No_HTTPS'})",frozenset({'Result_Phishing'}),0.15006784260515604,0.44305744007236547,0.15006784260515604,1.0,2.2570436913025724,1.0,0.08357916842333295,inf,0.6552788420604512,0.3387096774193548,1.0,0.6693548387096774,0.5819876952473779,0.3387096774193548,1.0,2453.649345380438
"frozenset({'URL_of_Anchor_greater_than_%67_Anchor', 'Google_Index_Indexed by Google', 'SSLfinal_State_No_HTTPS'})",frozenset({'Result_Phishing'}),0.15368611488014472,0.44305744007236547,0.15368611488014472,1.0,2.2570436913025724,1.0,0.08559433824668032,inf,0.6580803762291577,0.34687627603103305,1.0,0.6734381380155166,0.5889620327585073,0.34687627603103305,1.0,2523.5521557878924
"frozenset({'URL_of_Anchor_greater_than_%67_Anchor', 'SSLfinal_State_No_HTTPS', 'on_mouseover_onMouseOver_doesnt_Changes_Status_Bar'})",frozenset({'Result_Phishing'}),0.15260063319764813,0.44305744007236547,0.15260063319764813,1.0,2.2570436913025724,1.0,0.08498978729967611,inf,0.6572374039282665,0.3444262964475296,1.0,0.6722131482237648,0.5868784341305527,0.3444262964475296,1.0,2502.5186329466887
"frozenset({'Prefix_Suffix_Has_PrefixSuffix', 'URL_of_Anchor_greater_than_%67_Anchor', 'SSLfinal_State_No_HTTPS'})",frozenset({'Result_Phishing'}),0.1853459972862958,0.44305744007236547,0.1853459972862958,1.0,2.2570436913025724,1.0,0.10322707420096999,inf,0.6836553408838553,0.4183340138832176,1.0,0.7091670069416088,0.6467874564980506,0.4183340138832176,1.0,3161.688904354908
