RULES TARGETING LEGITIMATE
                                                                                                                                                                                                                                                                antecedents          consequents  antecedent support  consequent support   support  confidence      lift  representativity  leverage  conviction  zhangs_metric   jaccard  certainty  kulczynski    cosine  all_confidence  max_confidence  chi_square_score
2776                                                                                                                                                                     (SSLfinal_State_HTTPS_Trusted, URL_of_Anchor_less_than_%31_Anchor, Google_Index_Indexed by Google)  (Result_Legitimate)            0.171235            0.556943  0.170421    0.995246  1.786981               1.0  0.075053   93.189748       0.531389  0.305547   0.989269    0.650619  0.551850        0.305993        0.995246       1778.269916
294                                                                                                                                                                                                      (SSLfinal_State_HTTPS_Trusted, URL_of_Anchor_less_than_%31_Anchor)  (Result_Legitimate)            0.192944            0.556943  0.191497    0.992499  1.782049               1.0  0.084038   59.065095       0.543764  0.342945   0.983070    0.668168  0.584172        0.343836        0.992499       2031.914729
2782                                                                                                                                         (Statistical_report_Dont Belong to Top Phishing IPs/Domains, SSLfinal_State_HTTPS_Trusted, URL_of_Anchor_less_than_%31_Anchor)  (Result_Legitimate)            0.166621            0.556943  0.165355    0.992400  1.781871               1.0  0.072556   58.293700       0.526522  0.296224   0.982845    0.644649  0.542809        0.296898        0.992400       1698.507327
11794                                                                                                                                              (having_Sub_Domain_No_SubDomain, SSLfinal_State_HTTPS_Trusted, web_traffic_High_Traffic, Google_Index_Indexed by Google)  (Result_Legitimate)            0.153505            0.556943  0.151696    0.988214  1.774356               1.0  0.066202   37.593424       0.515556  0.271491   0.973400    0.630294  0.518809        0.272373        0.988214       1511.087123
11801                                                                                                                  (Statistical_report_Dont Belong to Top Phishing IPs/Domains, having_Sub_Domain_No_SubDomain, SSLfinal_State_HTTPS_Trusted, web_traffic_High_Traffic)  (Result_Legitimate)            0.155043            0.556943  0.153053    0.987165  1.772471               1.0  0.066703   34.518202       0.515785  0.273831   0.971030    0.630987  0.520847        0.274809        0.987165       1521.566422
2886                                                                                                                                                                               (having_Sub_Domain_No_SubDomain, SSLfinal_State_HTTPS_Trusted, web_traffic_High_Traffic)  (Result_Legitimate)            0.174582            0.556943  0.172230    0.986528  1.771329               1.0  0.074998   32.888495       0.527553  0.307941   0.969594    0.647885  0.552336        0.309242        0.986528       1748.690112
34973                                                                     (Domain_registeration_length_Domain_ShortTerm, SSLfinal_State_HTTPS_Trusted, having_IP_Address_no_IP, Request_URL_ReqURL_LowExtContent, web_traffic_High_Traffic, Google_Index_Indexed by Google)  (Result_Legitimate)            0.164541            0.556943  0.162099    0.985157  1.768866               1.0  0.070459   29.848944       0.520272  0.289780   0.966498    0.638104  0.535472        0.291051        0.985157       1617.927464
2899                                                                                                                                                                         (SSLfinal_State_HTTPS_Trusted, web_traffic_High_Traffic, Links_in_tags_between_%17_%81_Anchor)  (Result_Legitimate)            0.154048            0.556943  0.151334    0.982384  1.763888               1.0  0.065538   25.150894       0.511933  0.270406   0.960240    0.627054  0.516659        0.271723        0.982384       1476.651780
26209                                                                                                                   (SSLfinal_State_HTTPS_Trusted, having_IP_Address_no_IP, Request_URL_ReqURL_LowExtContent, web_traffic_High_Traffic, Google_Index_Indexed by Google)  (Result_Legitimate)            0.172953            0.556943  0.169878    0.982218  1.763589               1.0  0.073553   24.915465       0.523519  0.303344   0.959864    0.643618  0.547352        0.305019        0.982218       1694.443951
26080                                                                                                     (Domain_registeration_length_Domain_ShortTerm, SSLfinal_State_HTTPS_Trusted, having_IP_Address_no_IP, Request_URL_ReqURL_LowExtContent, web_traffic_High_Traffic)  (Result_Legitimate)            0.180009            0.556943  0.176662    0.981407  1.762133               1.0  0.076407   23.829306       0.527452  0.315305   0.958035    0.649303  0.557945        0.317200        0.981407       1771.969618
11879                                                                                                                                                   (having_IP_Address_no_IP, SSLfinal_State_HTTPS_Trusted, web_traffic_High_Traffic, Request_URL_ReqURL_LowExtContent)  (Result_Legitimate)            0.189055            0.556943  0.184894    0.977990  1.755999               1.0  0.079601   20.130218       0.530891  0.329518   0.950323    0.654985  0.569801        0.331980        0.977990       1851.600328
26019                                                                                              (Domain_registeration_length_Domain_ShortTerm, SSLfinal_State_HTTPS_Trusted, Request_URL_ReqURL_LowExtContent, web_traffic_High_Traffic, Google_Index_Indexed by Google)  (Result_Legitimate)            0.226142            0.556943  0.221076    0.977600  1.755298               1.0  0.095128   19.779350       0.556040  0.393369   0.949442    0.687273  0.622941        0.396947        0.977600       2316.676803
26413                                                                                                       (Domain_registeration_length_Domain_ShortTerm, SSLfinal_State_HTTPS_Trusted, having_IP_Address_no_IP, web_traffic_High_Traffic, Google_Index_Indexed by Google)  (Result_Legitimate)            0.190954            0.556943  0.186522    0.976788  1.753840               1.0  0.080171   19.087638       0.531271  0.332259   0.947610    0.655846  0.571953        0.334903        0.976788       1863.906623
11843                                                                                                                                            (Request_URL_ReqURL_LowExtContent, SSLfinal_State_HTTPS_Trusted, web_traffic_High_Traffic, Google_Index_Indexed by Google)  (Result_Legitimate)            0.238082            0.556943  0.232022    0.974544  1.749811               1.0  0.099424   17.404883       0.562409  0.412114   0.942545    0.695572  0.637177        0.416599        0.974544       2441.358272
26299                                                                                       (SSLfinal_State_HTTPS_Trusted, having_IP_Address_no_IP, Statistical_report_Dont Belong to Top Phishing IPs/Domains, Request_URL_ReqURL_LowExtContent, web_traffic_High_Traffic)  (Result_Legitimate)            0.159204            0.556943  0.155133    0.974432  1.749609               1.0  0.066466   17.328469       0.509569  0.276524   0.942291    0.626488  0.520983        0.278545        0.974432       1478.571025
35025                                  (Domain_registeration_length_Domain_ShortTerm, SSLfinal_State_HTTPS_Trusted, Statistical_report_Dont Belong to Top Phishing IPs/Domains, Request_URL_ReqURL_LowExtContent, web_traffic_High_Traffic, Google_Index_Indexed by Google)  (Result_Legitimate)            0.194301            0.556943  0.189326    0.974395  1.749543               1.0  0.081111   17.303407       0.531740  0.336929   0.942208    0.657167  0.575529        0.339938        0.974395       1882.802182
26530                                                                                                             (Domain_registeration_length_Domain_ShortTerm, SSLfinal_State_HTTPS_Trusted, DNSRecord_Has_DNS_Record, having_IP_Address_no_IP, web_traffic_High_Traffic)  (Result_Legitimate)            0.154862            0.556943  0.150882    0.974299  1.749371               1.0  0.064633   17.238962       0.506859  0.268989   0.941992    0.622605  0.513759        0.270911        0.974299       1429.947498
35208                                           (Domain_registeration_length_Domain_ShortTerm, SSLfinal_State_HTTPS_Trusted, having_IP_Address_no_IP, Statistical_report_Dont Belong to Top Phishing IPs/Domains, web_traffic_High_Traffic, Google_Index_Indexed by Google)  (Result_Legitimate)            0.161013            0.556943  0.156852    0.974157  1.749116               1.0  0.067177   17.144397       0.510476  0.279542   0.941672    0.627894  0.523787        0.281631        0.974157       1496.627373
26884                                                                                                (Domain_registeration_length_Domain_ShortTerm, SSLfinal_State_HTTPS_Trusted, DNSRecord_Has_DNS_Record, having_Sub_Domain_No_SubDomain, Google_Index_Indexed by Google)  (Result_Legitimate)            0.162189            0.556943  0.157938    0.973787  1.748451               1.0  0.067608   16.902170       0.510933  0.281431   0.940836    0.628683  0.525496        0.283580        0.973787       1506.994750
35080                                                                    (Domain_registeration_length_Domain_ShortTerm, SSLfinal_State_HTTPS_Trusted, DNSRecord_Has_DNS_Record, Request_URL_ReqURL_LowExtContent, web_traffic_High_Traffic, Google_Index_Indexed by Google)  (Result_Legitimate)            0.163094            0.556943  0.158752    0.973378  1.747717               1.0  0.067918   16.642345       0.511198  0.282836   0.939912    0.629210  0.526738        0.285041        0.973378       1514.060242
34927                                                                      (Domain_registeration_length_Domain_ShortTerm, SSLfinal_State_HTTPS_Trusted, Page_Rank_PageRank_Low, Request_URL_ReqURL_LowExtContent, web_traffic_High_Traffic, Google_Index_Indexed by Google)  (Result_Legitimate)            0.158752            0.556943  0.154410    0.972650  1.746409               1.0  0.065994   16.199288       0.508050  0.275101   0.938269    0.624947  0.519291        0.277245        0.972650       1461.023427
